Recall,Precision
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.25,0.0769231
0.5,0.142857
0.5,0.133333
0.5,0.125
0.5,0.117647
0.5,0.111111
0.5,0.105263
0.5,0.1
0.5,0.0952381
0.5,0.0909091
0.5,0.0869565
0.5,0.0833333
0.5,0.08
0.75,0.115385
1,0.148148
1,0.142857
1,0.137931
1,0.133333
1,0.129032
1,0.125
1,0.121212
1,0.117647
1,0.114286
1,0.111111
